id,first_name,last_name,email,username,ticket_number,purchase_timestamp,payment_method,raffle_name,status
1,Leslie,Sloan,brookebrown@smith.com,wschroeder,RFL-1000,2025-05-03 22:58:03,Credit Card,Winter Giveaway,Confirmed
2,Courtney,Wood,rossmartin@hotmail.com,spatrick,RFL-1001,2025-04-29 22:52:03,Credit Card,Summer Bonanza,Pending
3,Christopher,Smith,uweaver@yahoo.com,alexandrajoseph,RFL-1002,2025-04-25 10:40:03,Stripe,Spring Raffle,Cancelled
4,Deborah,Wolf,ulee@gmail.com,stacy37,RFL-1003,2025-04-22 12:34:03,PayPal,Summer Bonanza,Pending
5,Stephanie,Rosario,heather36@yahoo.com,johngarner,RFL-1004,2025-05-10 01:27:03,Credit Card,Spring Raffle,Cancelled
6,Leslie,Sloan,brookebrown@smith.com,wschroeder,RFL-1005,2025-04-30 06:23:03,PayPal,Spring Raffle,Pending
7,Paul,Jackson,zimmermanhannah@gmail.com,carolcochran,RFL-1006,2025-04-14 19:05:03,PayPal,Summer Bonanza,Cancelled
8,Courtney,Wood,rossmartin@hotmail.com,spatrick,RFL-1007,2025-04-19 05:47:03,Stripe,Spring Raffle,Confirmed
9,Deborah,Wolf,ulee@gmail.com,stacy37,RFL-1008,2025-04-29 19:55:03,Credit Card,Winter Giveaway,Confirmed
10,Micheal,Johnson,tferguson@morales-richard.org,randy01,RFL-1009,2025-05-04 18:45:03,Credit Card,Summer Bonanza,Cancelled
11,Brianna,Jackson,jeffrey33@hotmail.com,simpsontheresa,RFL-1010,2025-04-25 17:32:03,Credit Card,Winter Giveaway,Confirmed
12,Patricia,Boyd,alewis@jones.com,smartin,RFL-1011,2025-04-24 13:35:03,Credit Card,Winter Giveaway,Pending
13,Brandi,Bennett,judithhernandez@miller.net,lprince,RFL-1012,2025-04-27 10:45:03,PayPal,Winter Giveaway,Pending
14,Brandi,Bennett,judithhernandez@miller.net,lprince,RFL-1013,2025-04-13 13:29:03,Stripe,Spring Raffle,Cancelled
15,Patricia,Boyd,alewis@jones.com,smartin,RFL-1014,2025-04-13 21:57:03,Stripe,Summer Bonanza,Confirmed
16,Savannah,Dominguez,karagomez@hotmail.com,elizabeth53,RFL-1015,2025-04-14 05:32:03,Stripe,Spring Raffle,Confirmed
17,Leslie,Sloan,brookebrown@smith.com,wschroeder,RFL-1016,2025-04-17 06:13:03,PayPal,Winter Giveaway,Cancelled
18,Christopher,Smith,uweaver@yahoo.com,alexandrajoseph,RFL-1017,2025-05-03 09:15:03,PayPal,Winter Giveaway,Confirmed
19,Rebecca,Vasquez,frenchbradley@vasquez.info,stanleymatthew,RFL-1018,2025-04-12 15:14:03,PayPal,Spring Raffle,Confirmed
20,Miguel,Nelson,courtneylowe@whitehead.com,omar28,RFL-1019,2025-04-23 12:51:03,PayPal,Summer Bonanza,Confirmed
21,Erik,Sloan,jonesteresa@hotmail.com,cynthia08,RFL-1020,2025-04-25 19:50:03,PayPal,Spring Raffle,Confirmed
22,Rebecca,George,kelly72@yahoo.com,bellderrick,RFL-1021,2025-04-13 22:33:03,Stripe,Winter Giveaway,Pending
23,Danielle,Davis,jeffreysolis@yahoo.com,gabrielabaldwin,RFL-1022,2025-05-08 11:40:03,Credit Card,Winter Giveaway,Pending
24,Colin,Crawford,jacquelinejones@robinson-weber.com,adkinsrhonda,RFL-1023,2025-04-18 12:05:03,PayPal,Spring Raffle,Confirmed
25,James,Smith,ggentry@gmail.com,isaacchristensen,RFL-1024,2025-05-04 19:31:03,Credit Card,Winter Giveaway,Cancelled
26,Joseph,Price,marievargas@yahoo.com,tcantrell,RFL-1025,2025-04-28 05:56:03,Credit Card,Summer Bonanza,Cancelled
27,Brianna,Jackson,jeffrey33@hotmail.com,simpsontheresa,RFL-1026,2025-05-03 20:22:03,Credit Card,Winter Giveaway,Cancelled
28,Stephanie,Becker,lisa91@hotmail.com,jbutler,RFL-1027,2025-04-19 12:38:03,PayPal,Summer Bonanza,Pending
29,Phillip,Ramirez,ksolis@yahoo.com,timothy63,RFL-1028,2025-05-04 14:58:03,Credit Card,Summer Bonanza,Pending
30,Derek,Little,jensenbrian@hayes.com,mmiller,RFL-1029,2025-04-19 21:47:03,Stripe,Winter Giveaway,Confirmed
31,Brandi,Bennett,judithhernandez@miller.net,lprince,RFL-1030,2025-04-18 19:15:03,Credit Card,Spring Raffle,Cancelled
